Country,Life expectancy 
Ireland,83.44
Canada,82.23333333333333
France,82.20666666666666
Italy,82.15333333333334
Spain,82.02
Australia,81.90714285714286
Sweden,81.9
Austria,81.48
Netherlands,81.325
Greece,81.23333333333333
Israel,81.22
Germany,81.18666666666667
Malta,80.88333333333334
Luxembourg,80.7
Belgium,80.65333333333334
Chile,79.94444444444444
Portugal,79.92
Cyprus,79.32
Costa Rica,78.52666666666667
Croatia,76.7875
Panama,76.45
Bosnia and Herzegovina,76.18181818181819
Uruguay,76.01333333333334
Mexico,75.65333333333334
Poland,75.52666666666667
Maldives,75.33999999999999
Argentina,75.23846153846154
Albania,75.15625
Montenegro,75.06666666666666
Estonia,74.76363636363637
Ecuador,74.62666666666668
Jamaica,74.51666666666667
Tunisia,74.29333333333334
Algeria,74.2090909090909
Serbia,74.19090909090909
Lebanon,74.15333333333334
China,74.14
Romania,73.98666666666666
Peru,73.89166666666667
Turkey,73.78666666666666
Latvia,73.67333333333333
Malaysia,73.67333333333333
Samoa,73.59333333333333
Sri Lanka,73.46666666666667
Georgia,73.44666666666667
Nicaragua,73.36
Armenia,73.30666666666666
Brazil,73.27333333333333
Colombia,73.18666666666667
Syrian Arab Republic,73.1625
Guatemala,73.14
Thailand,72.96000000000001
Jordan,72.91333333333334
Honduras,72.88666666666667
Paraguay,72.84166666666667
Lithuania,72.75333333333333
Bulgaria,72.74
Cabo Verde,72.62307692307692
Mauritius,72.58666666666666
Tonga,72.46666666666667
Seychelles,72.32
Dominican Republic,72.24
Morocco,72.01333333333334
El Salvador,71.62666666666668
Trinidad and Tobago,71.36153846153846
Vanuatu,71.34666666666666
Azerbaijan,71.14615384615385
Suriname,71.03999999999999
Iraq,70.39090909090909
Bangladesh,69.96666666666667
Ukraine,69.84666666666666
Belarus,69.74666666666667
Belize,69.15333333333334
Fiji,68.63333333333334
Uzbekistan,68.04615384615384
Solomon Islands,67.61333333333333
Philippines,67.51333333333334
Indonesia,67.45333333333333
Russian Federation,67.44285714285715
Timor-Leste,67.14285714285714
Nepal,67.14166666666667
Tajikistan,66.85384615384615
Cambodia,66.43333333333334
Kazakhstan,66.41333333333334
India,66.0
Bhutan,65.92
Mongolia,65.69333333333333
Guyana,65.61428571428571
Sao Tome and Principe,65.55
Kiribati,65.07333333333334
Namibia,65.02000000000001
Pakistan,64.71666666666667
Turkmenistan,64.6
Myanmar,64.43333333333334
Senegal,63.78181818181818
Madagascar,63.215384615384615
Mauritania,63.17
Gabon,63.0
Haiti,62.900000000000006
Ethiopia,62.7375
Djibouti,62.725
Comoros,61.94166666666666
Papua New Guinea,61.6
Niger,61.35
Ghana,61.29230769230769
Eritrea,61.089999999999996
Liberia,60.81428571428571
Rwanda,60.46153846153846
Afghanistan,58.19375
Togo,58.08571428571429
Equatorial Guinea,57.9
Kenya,57.88461538461539
Guinea,57.7125
Benin,57.70769230769231
Guinea-Bissau,57.36666666666667
Zambia,57.25
Burkina Faso,57.233333333333334
South Africa,57.14
Uganda,56.51538461538462
Burundi,56.027272727272724
Botswana,55.406666666666666
Mali,55.4
Cameroon,54.86
Mozambique,53.40714285714286
Nigeria,52.839999999999996
Chad,52.285714285714285
Central African Republic,51.416666666666664
Swaziland,50.82
Angola,50.675000000000004
Malawi,50.26153846153846
Zimbabwe,49.38666666666666
Lesotho,48.60833333333333
Sierra Leone,48.425
