Country,Year,Life expectancy ,Alcohol
Afghanistan,2007.5,58.19375,0.014375
Angola,2010.5,50.675000000000004,7.62
Benin,2008.0,57.70769230769231,0.9515384615384614
Botswana,2007.0,55.406666666666666,4.67
Burkina Faso,2010.0,57.233333333333334,4.091111111111111
Burundi,2009.0,56.027272727272724,3.3663636363636367
Cameroon,2009.5,54.86,3.9850000000000003
Central African Republic,2011.5,51.416666666666664,0.82
Chad,2011.0,52.285714285714285,0.4642857142857143
Equatorial Guinea,2014.0,57.9,0.01
Guinea,2010.5,57.7125,0.12875
Guinea-Bissau,2011.5,57.36666666666667,1.5599999999999998
Kenya,2008.0,57.88461538461539,1.606923076923077
Lesotho,2008.5,48.60833333333333,1.8658333333333335
Malawi,2008.0,50.26153846153846,0.8815384615384616
Mali,2008.5,55.4,0.4216666666666667
Mozambique,2007.5,53.40714285714286,1.2750000000000001
Nigeria,2009.5,52.839999999999996,8.177000000000001
Sierra Leone,2010.5,48.425,2.42375
South Africa,2007.0,57.14,7.588666666666667
Swaziland,2007.0,50.82,4.463333333333334
Togo,2011.0,58.08571428571429,0.75
Uganda,2008.0,56.51538461538462,7.67076923076923
Zambia,2009.5,57.25,2.113
Zimbabwe,2007.0,49.38666666666666,4.482
